tilt,key_resp.keys,key_resp.corr,hit,miss,false alarm,correct rejection
0,up,1,1,,,
0,down,0,,1,,
-4,up,0,,,1,
-5,up,0,,,1,
0,up,1,1,,,
-2,down,1,,,,1
-4,down,1,,,,1
-4,down,1,,,,1
-5,up,0,,,1,
0,up,1,1,,,
0,up,1,1,,,
0,down,0,,1,,
0,up,1,1,,,
0,up,1,1,,,
-5,up,0,,,1,
0,down,0,,1,,
0,down,0,,1,,
-3,up,0,,,1,
0,down,0,,1,,
0,down,0,,1,,
-4,up,0,,,1,
-2,up,0,,,1,
-5,up,0,,,1,
0,up,1,1,,,
-3,down,1,,,,1
0,up,1,1,,,
-5,down,1,,,,1
0,up,1,1,,,
-4,down,1,,,,1
0,up,1,1,,,
0,up,1,1,,,
-4,down,1,,,,1
-4,down,1,,,,1
0,up,1,1,,,
0,down,0,,1,,
0,down,0,,1,,
0,down,0,,1,,
0,down,0,,1,,
0,down,0,,1,,
-3,up,0,,,1,
0,up,1,1,,,
-4,down,1,,,,1
-4,down,1,,,,1
-2,down,1,,,,1
0,down,0,,1,,
-4,down,1,,,,1
-3,down,1,,,,1
-3,down,1,,,,1
-3,down,1,,,,1
-4,down,1,,,,1
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-5,down,1,,,,1
0,down,0,,1,,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-3,down,1,,,,1
-3,down,1,,,,1
-2,down,1,,,,1
-4,down,1,,,,1
-2,up,0,,,1,
-5,down,1,,,,1
0,up,1,1,,,
-2,up,0,,,1,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-4,down,1,,,,1
-3,down,1,,,,1
-2,up,0,,,1,
-3,down,1,,,,1
0,up,1,1,,,
-2,down,1,,,,1
0,down,0,,1,,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-4,down,1,,,,1
-3,up,0,,,1,
0,up,1,1,,,
0,up,1,1,,,
-4,down,1,,,,1
0,up,1,1,,,
-5,down,1,,,,1
-4,down,1,,,,1
0,up,1,1,,,
-4,down,1,,,,1
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-3,up,0,,,1,
-2,up,0,,,1,
0,up,1,1,,,
0,up,1,1,,,
-2,up,0,,,1,
-4,down,1,,,,1
-2,down,1,,,,1
-2,up,0,,,1,
-2,up,0,,,1,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-5,down,1,,,,1
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-2,down,1,,,,1
0,up,1,1,,,
0,up,1,1,,,
-2,down,1,,,,1
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-2,down,1,,,,1
0,up,1,1,,,
-4,down,1,,,,1
-3,down,1,,,,1
0,up,1,1,,,
-4,down,1,,,,1
-5,down,1,,,,1
0,up,1,1,,,
0,down,0,,1,,
-4,up,0,,,1,
-3,up,0,,,1,
-5,down,1,,,,1
-3,up,0,,,1,
-3,up,0,,,1,
-5,down,1,,,,1
-4,down,1,,,,1
0,up,1,1,,,
-3,down,1,,,,1
0,up,1,1,,,
-5,up,0,,,1,
0,down,0,,1,,
0,up,1,1,,,
-4,down,1,,,,1
-4,down,1,,,,1
-2,up,0,,,1,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-4,down,1,,,,1
-4,down,1,,,,1
0,up,1,1,,,
-4,down,1,,,,1
-4,down,1,,,,1
-4,down,1,,,,1
-4,down,1,,,,1
0,up,1,1,,,
-5,down,1,,,,1
0,up,1,1,,,
-2,up,0,,,1,
-5,down,1,,,,1
0,up,1,1,,,
-4,down,1,,,,1
-5,down,1,,,,1
0,up,1,1,,,
-5,down,1,,,,1
0,up,1,1,,,
-3,down,1,,,,1
0,up,1,1,,,
-3,up,0,,,1,
-5,down,1,,,,1
-3,down,1,,,,1
-2,up,0,,,1,
0,up,1,1,,,
-5,down,1,,,,1
-3,down,1,,,,1
-2,down,1,,,,1
-2,up,0,,,1,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-2,up,0,,,1,
0,up,1,1,,,
-3,down,1,,,,1
-2,up,0,,,1,
-3,down,1,,,,1
-3,down,1,,,,1
-3,down,1,,,,1
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-4,up,0,,,1,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
0,up,1,1,,,
-3,down,1,,,,1
-3,down,1,,,,1
-2,down,1,,,,1
-3,down,1,,,,1
-4,down,1,,,,1
,,,,,,
,,,80,16,31,68
,,,,,,
,,,,,,
,,,,,,
,,prop hit,0.833333333,,,
,,prop fa,0.313131313,,,
,,d-prime,1.454415505,,,
,,criterion ,-0.240213813,,,
